id,year,region,wine,beer,vodka,champagne,brandy,total_consumption
1,1998,"Republic of Adygea",1.90,8.80,3.40,0.30,0.10,14.50
2,1998,"Altai Krai",3.30,19.20,11.30,1.10,0.10,35.00
3,1998,"Amur Oblast",2.10,21.20,17.30,0.70,0.40,41.70
4,1998,"Arkhangelsk Oblast",4.30,10.60,11.70,0.40,0.30,27.30
5,1998,"Astrakhan Oblast",2.90,18.00,9.50,0.80,0.20,31.40
6,1998,"Republic of Bashkortostan",1.80,17.50,10.70,0.90,0.20,31.10
7,1998,"Belgorod Oblast",3.40,23.00,10.80,0.90,0.10,38.20
8,1998,"Bryansk Oblast",3.40,32.40,9.70,0.50,0.10,46.10
9,1998,"Republic of Buryatia",1.10,8.80,15.80,0.90,0.10,26.70
10,1998,"Vladimir Oblast",1.50,16.60,16.80,0.50,0.10,35.50
11,1998,"Volgograd Oblast",2.90,27.90,12.90,1.50,0.30,45.50
12,1998,"Vologda Oblast",3.90,23.70,19.30,0.60,0.30,47.80
13,1998,"Voronezh Oblast",1.30,19.00,14.20,1.20,0.10,35.80
14,1998,"Republic of Dagestan",4.80,3.80,2.00,0.50,0.30,11.40
15,1998,"Jewish Autonomous Oblast",2.30,11.60,11.50,0.50,0.20,26.10
16,1998,"Zabaykalsky Krai",0.90,8.60,5.00,0.20,0.10,14.80
17,1998,"Ivanovo Oblast",1.40,20.70,16.10,0.10,0.04,38.34
18,1998,"Irkutsk Oblast",5.60,26.80,14.80,1.00,0.40,48.60
19,1998,"Kabardino-Balkar Republic",1.60,9.90,6.50,0.30,0.30,18.60
20,1998,"Kaliningrad Oblast",2.70,21.60,12.20,1.10,0.30,37.90
21,1998,"Republic of Kalmykia",2.30,4.10,11.10,0.30,0.10,17.90
22,1998,"Kaluga Oblast",2.80,24.20,15.60,0.70,0.10,43.40
23,1998,"Kamchatka Krai",6.40,25.50,25.10,0.80,0.40,58.20
24,1998,"Karachay-Cherkess Republic",1.70,5.40,8.60,0.10,0.04,15.84
25,1998,"Republic of Karelia",3.20,16.20,15.40,0.50,0.20,35.50
26,1998,"Kemerovo Oblast",3.60,25.60,16.80,1.10,0.40,47.50
27,1998,"Kirov Oblast",2.00,12.40,12.80,0.40,0.10,27.70
28,1998,"Kostroma Oblast",1.70,25.80,17.90,1.20,0.10,46.70
29,1998,"Krasnodar Krai",8.50,18.30,8.70,1.00,0.30,36.80
30,1998,"Krasnoyarsk Krai",3.70,25.00,14.10,0.90,0.30,44.00
31,1998,"Kurgan Oblast",3.80,20.10,15.10,1.20,0.20,40.40
32,1998,"Kursk Oblast",1.50,22.90,4.40,0.70,0.10,29.60
33,1998,"Leningrad Oblast",2.30,15.00,13.90,0.50,0.20,31.90
34,1998,"Lipetsk Oblast",2.60,29.60,15.30,1.40,0.20,49.10
